tripId, taxiId, PU_timeStamp, PU_lat, PU_long, DO_timeStamp, DO_lat, DO_long
0,3,19700101 01:00:43,25.1020751,55.37505,19700101 01:10:23,25.107260800000002,55.37245920000001
4,8,19700101 01:02:31,25.106283599999994,55.373062100000006,19700101 01:12:59,25.1033561,55.3754754
7,4,19700101 01:14:57,25.108239800000003,55.3746892,19700101 01:19:18,25.101654799999995,55.3778125
3,2,19700101 01:02:14,25.1074237,55.3812816,19700101 01:28:04,25.106892000000013,55.3838957
5,6,19700101 01:12:51,25.100364999999996,55.3827847,19700101 01:30:40,25.1012078,55.3813721
1,5,19700101 01:01:24,25.106230699999998,55.382968,19700101 01:31:26,25.108791800000002,55.36514569999999
9,9,19700101 01:29:22,25.100364999999996,55.3827847,19700101 01:34:09,25.1065583,55.3844437
2,0,19700101 01:01:44,25.105975900000004,55.390065,19700101 01:38:08,25.098880599999998,55.37615360000001
6,3,19700101 01:13:51,25.106828400000005,55.36980630000001,19700101 01:41:30,25.099046099999995,55.3827827
14,0,19700101 01:39:37,25.099189400000004,55.37434799999999,19700101 01:45:25,25.09804129999999,55.37214720000001
11,5,19700101 01:32:39,25.109107700000006,55.36603169999999,19700101 01:47:24,25.10472160000001,55.3816196
10,6,19700101 01:31:41,25.1012078,55.3813721,19700101 01:48:02,25.10582789999999,55.3834486
13,9,19700101 01:35:10,25.1065583,55.3844437,19700101 01:51:16,25.10918649999999,55.377304699999996
12,2,19700101 01:34:42,25.106906399999996,55.383420199999996,19700101 01:51:39,25.106483299999997,55.37553559999999
8,7,19700101 01:21:01,25.103633300000002,55.3716624,19700101 01:51:57,25.108999500000003,55.3832767
19,9,19700101 01:52:17,25.10918649999999,55.377304699999996,19700101 02:06:21,25.107775899999996,55.39149580000001
17,4,19700101 01:47:05,25.1017606,55.37732410000001,19700101 02:06:30,25.10707980000001,55.3792719
23,4,19700101 02:07:34,25.107033299999994,55.3796987,19700101 02:09:43,25.1086963,55.3764644
15,8,19700101 01:39:55,25.103175500000003,55.3790364,19700101 02:15:17,25.10237799999999,55.37136350000001
18,5,19700101 01:48:25,25.10472160000001,55.3816196,19700101 02:15:27,25.103150899999992,55.3809859
24,9,19700101 02:08:26,25.107821099999995,55.3939091,19700101 02:16:31,25.109111500000004,55.3865186
16,1,19700101 01:40:24,25.097720100000004,55.382288,19700101 02:18:55,25.104353899999996,55.3814561
22,6,19700101 02:04:53,25.105868199999996,55.38252760000001,19700101 02:21:14,25.102762500000004,55.37963390000001
25,2,19700101 02:09:22,25.106716400000003,55.375482,19700101 02:22:06,25.100506699999997,55.3896968
21,7,19700101 01:55:20,25.109282200000003,55.38355800000001,19700101 02:22:19,25.1039483,55.3812974
30,1,19700101 02:19:56,25.104353899999996,55.3814561,19700101 02:29:08,25.109687299999997,55.3840622
26,4,19700101 02:10:46,25.1086262,55.3763721,19700101 02:29:41,25.105851899999994,55.3834265
33,7,19700101 02:23:20,25.1039483,55.3812974,19700101 02:30:56,25.102814299999995,55.3928656
32,2,19700101 02:23:07,25.100506699999997,55.3896968,19700101 02:33:31,25.106230699999998,55.382968
36,7,19700101 02:31:57,25.102814299999995,55.3928656,19700101 02:37:45,25.108925000000003,55.399004
35,4,19700101 02:30:42,25.105851899999994,55.3834265,19700101 02:39:56,25.1013701,55.3820338
20,0,19700101 01:53:46,25.099189400000004,55.37434799999999,19700101 02:42:00,25.103150899999992,55.3809859
29,5,19700101 02:16:28,25.103150899999992,55.3809859,19700101 02:44:56,25.1018702,55.3704836
28,8,19700101 02:16:18,25.10237799999999,55.37136350000001,19700101 02:48:28,25.1074237,55.3812816
34,1,19700101 02:30:09,25.109687299999997,55.3840622,19700101 02:51:12,25.1013701,55.3820338
39,4,19700101 02:40:57,25.1013701,55.3820338,19700101 02:51:13,25.107838200000003,55.3847716
37,2,19700101 02:34:32,25.106230699999998,55.382968,19700101 02:51:37,25.107546,55.38145539999999
27,3,19700101 02:15:28,25.099504600000003,55.38152670000001,19700101 02:54:16,25.1035362,55.38115689999999
31,6,19700101 02:22:15,25.102762500000004,55.37963390000001,19700101 02:55:20,25.105000200000003,55.3824443
42,7,19700101 02:47:29,25.108647899999998,55.4024163,19700101 02:59:18,25.106313300000004,55.377069899999995
38,9,19700101 02:40:43,25.109273099999996,55.38665610000001,19700101 03:00:25,25.105705199999996,55.37198510000001
46,6,19700101 02:56:21,25.105000200000003,55.3824443,19700101 03:01:31,25.107804800000004,55.38917180000001
41,5,19700101 02:45:57,25.1018702,55.3704836,19700101 03:09:20,25.110025699999994,55.3843552
40,0,19700101 02:43:01,25.103150899999992,55.3809859,19700101 03:10:26,25.105042099999995,55.3721727
48,9,19700101 03:02:31,25.105656000000003,55.3721144,19700101 03:12:28,25.103175500000003,55.3790364
43,8,19700101 02:49:29,25.1074237,55.3812816,19700101 03:12:50,25.107658899999997,55.3859266
44,2,19700101 02:52:38,25.107546,55.38145539999999,19700101 03:13:15,25.1027812,55.38161490000001
