tripId, taxiId, PU_timeStamp, PU_lat, PU_long, DO_timeStamp, DO_lat, DO_long
0,3,19700101 01:01:24,25.10302240000001,55.3721304,19700101 01:08:57,25.113432600000003,55.36858920000001
1,6,19700101 01:06:17,25.1117448,55.37158050000001,19700101 01:09:40,25.105773999999997,55.37556240000001
2,4,19700101 01:06:54,25.107748700000002,55.395676800000004,19700101 01:20:39,25.119032100000002,55.3770138
4,5,19700101 01:12:23,25.123755799999998,55.37218800000001,19700101 01:23:13,25.107906900000007,55.37654620000001
7,1,19700101 01:17:25,25.099280199999995,55.38974279999999,19700101 01:24:05,25.1010617,55.3822464
6,7,19700101 01:13:53,25.101898999999996,55.3769376,19700101 01:26:26,25.1130784,55.3801684
3,2,19700101 01:08:39,25.114200399999998,55.3842998,19700101 01:29:17,25.1127108,55.39182170000001
10,1,19700101 01:25:06,25.1010617,55.3822464,19700101 01:33:58,25.110581399999997,55.3905612
9,4,19700101 01:24:39,25.1176759,55.37775059999999,19700101 01:35:38,25.114752900000006,55.394472
5,3,19700101 01:13:18,25.1127504,55.36462,19700101 01:37:30,25.096608099999997,55.3858112
13,7,19700101 01:28:02,25.11328810000001,55.377536600000006,19700101 01:44:03,25.107804800000004,55.38917180000001
12,6,19700101 01:27:32,25.105000200000003,55.3824443,19700101 01:46:17,25.0934529,55.3875966
17,4,19700101 01:36:39,25.114752900000006,55.394472,19700101 01:46:27,25.113592499999992,55.39252690000001
15,2,19700101 01:35:32,25.1124053,55.39411509999999,19700101 01:50:06,25.117864599999997,55.376194899999994
8,8,19700101 01:21:36,25.1043661,55.3696727,19700101 01:51:27,25.113246200000003,55.3752321
14,0,19700101 01:28:48,25.112839899999997,55.37333480000001,19700101 01:51:43,25.1001933,55.3912751
11,5,19700101 01:25:36,25.108316000000002,55.3790691,19700101 01:56:33,25.105439099999998,55.36631940000001
18,7,19700101 01:46:22,25.107775899999996,55.39149580000001,19700101 02:04:43,25.109206999999998,55.38364980000001
21,9,19700101 01:56:55,25.093066600000007,55.3835723,19700101 02:14:25,25.095994399999995,55.408767600000004
16,1,19700101 01:36:38,25.1106422,55.3950105,19700101 02:14:33,25.0962828,55.3757078
26,0,19700101 02:08:51,25.099860800000002,55.388516,19700101 02:15:16,25.1001933,55.3912751
20,8,19700101 01:52:44,25.113233700000002,55.3744754,19700101 02:17:06,25.106216100000005,55.3755785
23,3,19700101 02:01:04,25.097157299999996,55.383993499999995,19700101 02:20:40,25.10582789999999,55.3834486
28,1,19700101 02:17:32,25.0968432,55.37192929999999,19700101 02:23:20,25.094556200000003,55.3689811
25,7,19700101 02:05:44,25.109206999999998,55.38364980000001,19700101 02:26:59,25.098142399999993,55.3944332
19,4,19700101 01:52:15,25.113633699999998,55.393844099999995,19700101 02:28:20,25.1091981,55.357242799999995
22,5,19700101 01:59:07,25.106076899999994,55.3635921,19700101 02:28:31,25.10443430000001,55.381959900000005
24,2,19700101 02:01:25,25.116929599999995,55.3719401,19700101 02:29:16,25.107723,55.37208570000001
27,6,19700101 02:11:33,25.0936152,55.3869259,19700101 02:43:17,25.107715,55.38169340000001
30,8,19700101 02:27:01,25.106148299999997,55.372939099999996,19700101 02:44:47,25.1053457,55.3906181
33,5,19700101 02:29:32,25.10443430000001,55.381959900000005,19700101 02:48:03,25.1088353,55.3828853
31,7,19700101 02:28:00,25.098142399999993,55.3944332,19700101 02:51:04,25.119411700000004,55.38282230000001
37,6,19700101 02:44:18,25.107715,55.38169340000001,19700101 02:52:48,25.11916719999999,55.389573199999994
34,1,19700101 02:32:12,25.094915500000003,55.37456589999999,19700101 02:55:23,25.098420900000004,55.3881534
29,0,19700101 02:21:54,25.100388300000002,55.389776,19700101 02:55:39,25.099480200000006,55.3631637
38,8,19700101 02:45:48,25.1053457,55.3906181,19700101 02:56:16,25.102762500000004,55.37963390000001
42,6,19700101 02:53:49,25.11916719999999,55.389573199999994,19700101 03:00:28,25.113489199999997,55.3866644
32,4,19700101 02:29:21,25.1091981,55.357242799999995,19700101 03:01:30,25.107090199999995,55.398611
35,2,19700101 02:34:23,25.1078254,55.3705037,19700101 03:03:25,25.1086963,55.3764644
40,5,19700101 02:51:47,25.1089133,55.3828066,19700101 03:07:29,25.103167,55.392532
47,5,19700101 03:08:30,25.103167,55.392532,19700101 03:13:00,25.108913099999995,55.3884006
44,1,19700101 02:59:59,25.098675899999993,55.3866368,19700101 03:13:11,25.106667799999997,55.376528
45,4,19700101 03:02:31,25.107090199999995,55.398611,19700101 03:13:20,25.111580999999997,55.37983379999999
36,3,19700101 02:37:31,25.105868199999996,55.38252760000001,19700101 03:13:35,25.1106472,55.4263785
